# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
100000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0 0
40 0.921667 2.64185e-06 5.26316e-07
41 0.945 0.000939862 0.000197368
42 0.968333 0.0275739 0.00626105
43 0.991667 0.265607 0.0675184
44 1.015 1.15502 0.346585
45 1.03833 2.79335 1.05288
46 1.06167 4.49399 2.24082
47 1.085 5.4375 3.74203
48 1.10833 5.39699 5.29684
49 1.13167 4.67259 6.70023
50 1.155 3.69962 7.85768
51 1.17833 2.77605 8.76164
52 1.20167 2.02699 9.44808
53 1.225 1.4796 9.96879
54 1.24833 1.0957 10.3692
55 1.27167 0.832376 10.6849
56 1.295 0.656621 10.9432
57 1.31833 0.540058 11.1633
58 1.34167 0.463716 11.359
59 1.365 0.416379 11.541
60 1.38833 0.388866 11.7168
61 1.41167 0.381505 11.8951
62 1.435 0.393673 12.0852
63 1.45833 0.421494 12.2954
64 1.48167 0.465479 12.535
65 1.505 0.52101 12.8118
66 1.52833 0.583342 13.1313
67 1.55167 0.638129 13.4917
68 1.575 0.679636 13.887
69 1.59833 0.697487 14.3049
70 1.62167 0.694539 14.7333
71 1.645 0.679137 15.1642
72 1.66833 0.660235 15.5952
73 1.69167 0.655744 16.0353
74 1.715 0.66813 16.4962
75 1.73833 0.71368 17.0019
76 1.76167 0.790801 17.5775
77 1.785 0.910509 18.2578
78 1.80833 1.07568 19.0827
79 1.83167 1.28281 20.0921
80 1.855 1.51425 21.314
81 1.87833 1.73819 22.7522
82 1.90167 1.91403 24.3755
83 1.925 1.99645 26.1105
84 1.94833 1.97741 27.8708
85 1.97167 1.87291 29.5783
86 1.995 1.71971 31.1834
87 2.01833 1.5643 32.6779
88 2.04167 1.43932 34.0849
89 2.065 1.36333 35.4483
90 2.08833 1.34155 36.8203
91 2.11167 1.35131 38.2335
92 2.135 1.37442 39.7027
93 2.15833 1.38951 41.2207
94 2.18167 1.37823 42.7591
95 2.205 1.33204 44.2779
96 2.22833 1.2537 45.7378
97 2.25167 1.15105 47.1064
98 2.275 1.04142 48.3704
99 2.29833 0.937516 49.5318
100 2.32167 0.849839 50.6061
101 2.345 0.787722 51.6219
102 2.36833 0.751309 52.6102
103 2.39167 0.742022 53.6056
104 2.415 0.755049 54.6383
105 2.43833 0.782138 55.7288
106 2.46167 0.818137 56.8915
107 2.485 0.850393 58.123
108 2.50833 0.876281 59.416
109 2.53167 0.892134 60.7569
110 2.555 0.902969 62.1393
111 2.57833 0.912744 63.5623
112 2.60167 0.927669 65.0348
113 2.625 0.94877 66.568
114 2.64833 0.981543 68.1825
115 2.67167 1.02199 69.8932
116 2.695 1.06594 71.7088
117 2.71833 1.11142 73.6348
118 2.74167 1.15537 75.6715
119 2.765 1.19756 77.8186
120 2.78833 1.24147 80.0822
121 2.81167 1.28852 82.471
122 2.835 1.34223 85.0009
123 2.85833 1.40189 87.687
124 2.88167 1.46154 90.5332
125 2.905 1.50952 93.5207
126 2.92833 1.53541 96.6084
127 2.95167 1.52974 99.7339
128 2.975 1.48959 102.826
129 2.99833 1.4221 105.824
130 3.02167 1.33589 108.684
131 3.045 1.24544 111.392
132 3.06833 1.16076 113.955
133 3.09167 1.08954 116.398
134 3.115 1.03307 118.748
135 3.13833 0.994837 121.046
136 3.16167 0.97196 123.325
137 3.185 0.959261 125.607
138 3.20833 0.954776 127.912
139 3.23167 0.955576 130.252
140 3.255 0.958569 132.634
141 3.27833 0.962842 135.06
142 3.30167 0.966345 137.531
143 3.325 0.96698 140.038
144 3.34833 0.964833 142.575
145 3.37167 0.961567 145.138
146 3.395 0.957456 147.726
147 3.41833 0.957531 150.35
148 3.44167 0.960737 153.019
149 3.465 0.968779 155.747
150 3.48833 0.982041 158.549
