# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
50000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 9.37965e-05 1.05263e-06
39 0.898333 0.00182424 2.26316e-05
40 0.921667 0.0203316 0.000275789
41 0.945 0.125409 0.00191737
42 0.968333 0.38309 0.00718263
43 0.991667 0.863239 0.0196258
44 1.015 1.45332 0.0415721
45 1.03833 1.99409 0.0730847
46 1.06167 2.40963 0.112895
47 1.085 2.66815 0.158935
48 1.10833 2.78666 0.20911
49 1.13167 2.7736 0.261175
50 1.155 2.71408 0.314245
51 1.17833 2.60417 0.367244
52 1.20167 2.49372 0.420025
53 1.225 2.34271 0.471554
54 1.24833 2.21692 0.522191
55 1.27167 2.08659 0.57165
56 1.295 1.9793 0.620303
57 1.31833 1.88007 0.668197
58 1.34167 1.78145 0.7152
59 1.365 1.70442 0.761748
60 1.38833 1.63049 0.807812
61 1.41167 1.55512 0.853236
62 1.435 1.50256 0.898588
63 1.45833 1.45891 0.944066
64 1.48167 1.41323 0.989541
65 1.505 1.37742 1.03527
66 1.52833 1.34572 1.08134
67 1.55167 1.30588 1.12743
68 1.575 1.28007 1.17397
69 1.59833 1.26227 1.22124
70 1.62167 1.24379 1.26918
71 1.645 1.22263 1.31767
72 1.66833 1.20732 1.36693
73 1.69167 1.18593 1.41667
74 1.715 1.1854 1.46777
75 1.73833 1.16679 1.51945
76 1.76167 1.1585 1.57215
77 1.785 1.14843 1.62578
78 1.80833 1.1481 1.68081
79 1.83167 1.13619 1.73669
80 1.855 1.13233 1.7938
81 1.87833 1.12782 1.85212
82 1.90167 1.12142 1.91156
83 1.925 1.12413 1.97262
84 1.94833 1.12607 2.03527
85 1.97167 1.12186 2.09919
86 1.995 1.10986 2.16394
87 2.01833 1.11645 2.2306
88 2.04167 1.11604 2.29879
89 2.065 1.11879 2.36871
90 2.08833 1.11748 2.44015
91 2.11167 1.11771 2.5132
92 2.135 1.11557 2.58773
93 2.15833 1.10768 2.66336
94 2.18167 1.10929 2.74075
95 2.205 1.10914 2.81979
96 2.22833 1.10293 2.90006
97 2.25167 1.09931 2.98176
98 2.275 1.10208 3.06536
99 2.29833 1.09865 3.15042
100 2.32167 1.08469 3.23612
101 2.345 1.09265 3.32419
102 2.36833 1.08434 3.41333
103 2.39167 1.08122 3.50398
104 2.415 1.08034 3.59633
105 2.43833 1.07285 3.68982
106 2.46167 1.07166 3.78501
107 2.485 1.06664 3.88155
108 2.50833 1.06267 3.97955
109 2.53167 1.06326 4.07944
110 2.555 1.06072 4.18093
111 2.57833 1.05477 4.2837
112 2.60167 1.05106 4.38798
113 2.625 1.05085 4.49411
114 2.64833 1.04507 4.60155
115 2.67167 1.04699 4.71108
116 2.695 1.04861 4.82271
117 2.71833 1.04112 4.93547
118 2.74167 1.03992 5.05005
119 2.765 1.0383 5.1664
120 2.78833 1.03906 5.2848
121 2.81167 1.03762 5.40503
122 2.835 1.03267 5.52669
123 2.85833 1.03377 5.65048
124 2.88167 1.02969 5.77581
125 2.905 1.02781 5.90294
126 2.92833 1.03142 6.03257
127 2.95167 1.02831 6.16389
128 2.975 1.02598 6.29698
129 2.99833 1.02758 6.43239
130 3.02167 1.02357 6.56937
131 3.045 1.02128 6.70816
132 3.06833 1.02223 6.84922
133 3.09167 1.02396 6.99268
134 3.115 1.02047 7.13781
135 3.13833 1.02224 7.28538
136 3.16167 1.02152 7.43505
137 3.185 1.01832 7.58646
138 3.20833 1.01943 7.74026
139 3.23167 1.01935 7.8963
140 3.255 1.01505 8.05393
141 3.27833 1.01798 8.21429
142 3.30167 1.01477 8.37642
143 3.325 1.01475 8.54086
144 3.34833 1.01542 8.70772
145 3.37167 1.01726 8.87722
146 3.395 1.01207 9.0482
147 3.41833 1.01087 9.22133
148 3.44167 1.01157 9.39695
149 3.465 1.01115 9.57489
150 3.48833 1.01347 9.75565
