# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
150000 150
64 1.48167 2.87404 2.36355
65 1.505 2.78552 2.45603
66 1.52833 2.72416 2.54929
67 1.55167 2.65597 2.64302
68 1.575 2.61816 2.73822
69 1.59833 2.56884 2.83441
70 1.62167 2.54323 2.93244
71 1.645 2.5357 3.03301
72 1.66833 2.51777 3.13573
73 1.69167 2.51156 3.24108
74 1.715 2.52588 3.34997
75 1.73833 2.54626 3.46275
76 1.76167 2.5721 3.57975
77 1.785 2.59178 3.70079
78 1.80833 2.63259 3.82697
79 1.83167 2.6579 3.95767
80 1.855 2.70631 4.09417
81 1.87833 2.75525 4.23665
82 1.90167 2.79678 4.3849
83 1.925 2.84761 4.53956
84 1.94833 2.89005 4.70036
85 1.97167 2.93529 4.86761
86 1.995 2.98271 5.04161
87 2.01833 3.00588 5.22109
88 2.04167 3.041 5.40689
89 2.065 3.06977 5.59875
90 2.08833 3.08186 5.79575
91 2.11167 3.09946 5.99833
92 2.135 3.07952 6.20408
93 2.15833 3.07486 6.41403
94 2.18167 3.04119 6.62619
95 2.205 3.00891 6.84062
96 2.22833 2.97809 7.05736
97 2.25167 2.94044 7.27587
98 2.275 2.90564 7.4963
99 2.29833 2.85355 7.71723
100 2.32167 2.80842 7.93911
101 2.345 2.7716 8.1625
102 2.36833 2.73052 8.38698
103 2.39167 2.69344 8.6128
104 2.415 2.65466 8.83973
105 2.43833 2.62248 9.06827
106 2.46167 2.58468 9.29784
107 2.485 2.56525 9.53002
108 2.50833 2.546 9.76481
109 2.53167 2.51893 10.0014
110 2.555 2.49566 10.2402
111 2.57833 2.47788 10.4817
112 2.60167 2.47587 10.7273
113 2.625 2.46624 10.9764
114 2.64833 2.45373 11.2286
115 2.67167 2.44258 11.4842
116 2.695 2.44475 11.7444
117 2.71833 2.44269 12.009
118 2.74167 2.44318 12.2782
119 2.765 2.44517 12.5522
120 2.78833 2.44576 12.8309
121 2.81167 2.44986 13.1148
122 2.835 2.45447 13.4039
123 2.85833 2.45613 13.698
124 2.88167 2.45184 13.9964
125 2.905 2.4594 14.3007
126 2.92833 2.46455 14.6104
127 2.95167 2.46156 14.9247
128 2.975 2.46045 15.2439
129 2.99833 2.46417 15.5686
130 3.02167 2.45786 15.8976
131 3.045 2.45149 16.2307
132 3.06833 2.4458 16.5682
133 3.09167 2.43941 16.91
134 3.115 2.43171 17.2558
135 3.13833 2.42231 17.6055
136 3.16167 2.41343 17.9591
137 3.185 2.40071 18.3161
138 3.20833 2.38912 18.6765
139 3.23167 2.37738 19.0404
140 3.255 2.36738 19.4081
141 3.27833 2.3515 19.7785
142 3.30167 2.33368 20.1514
143 3.325 2.32459 20.5281
144 3.34833 2.30869 20.9074
145 3.37167 2.28845 21.2887
146 3.395 2.27646 21.6733
147 3.41833 2.2646 22.0612
148 3.44167 2.25004 22.4518
149 3.465 2.24139 22.8463
150 3.48833 2.23161 23.2443
250000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 4.68982e-05 5.26316e-07
39 0.898333 0.00342602 4.10526e-05
40 0.921667 0.0532173 0.000703684
41 0.945 0.354876 0.00534895
42 0.968333 1.3273 0.0235916
43 0.991667 3.11671 0.0685174
44 1.015 5.33855 0.149134
45 1.03833 7.39189 0.265948
46 1.06167 8.86178 0.412355
47 1.085 9.59372 0.577898
48 1.10833 9.68181 0.752224
49 1.13167 9.36932 0.928101
50 1.155 8.84949 1.10114
51 1.17833 8.20626 1.26815
52 1.20167 7.51641 1.42724
53 1.225 6.88134 1.5786
54 1.24833 6.31311 1.7228
55 1.27167 5.78581 1.85994
56 1.295 5.33956 1.99119
57 1.31833 4.94194 2.11709
58 1.34167 4.60273 2.23853
59 1.365 4.33288 2.35686
60 1.38833 4.06473 2.47169
61 1.41167 3.84401 2.58398
62 1.435 3.66019 2.69445
63 1.45833 3.51522 2.80403
64 1.48167 3.39891 2.9134
65 1.505 3.28567 3.02248
66 1.52833 3.21532 3.13256
67 1.55167 3.13095 3.24305
68 1.575 3.07826 3.35498
69 1.59833 3.0516 3.46924
70 1.62167 3.01133 3.58532
71 1.645 3.00101 3.70435
72 1.66833 2.9996 3.82672
73 1.69167 3.01178 3.95305
74 1.715 3.03846 4.08404
75 1.73833 3.07281 4.22014
76 1.76167 3.10956 4.36159
77 1.785 3.15579 4.50897
78 1.80833 3.22436 4.66352
79 1.83167 3.27408 4.82452
80 1.855 3.35091 4.99353
81 1.87833 3.41207 5.16997
82 1.90167 3.48795 5.35485
83 1.925 3.56155 5.5483
84 1.94833 3.63311 5.75044
85 1.97167 3.69815 5.96116
86 1.995 3.75853 6.18042
87 2.01833 3.81198 6.40803
88 2.04167 3.86052 6.6439
89 2.065 3.89488 6.88733
90 2.08833 3.90658 7.13705
91 2.11167 3.9222 7.3934
92 2.135 3.91488 7.65496
93 2.15833 3.8855 7.92026
94 2.18167 3.84762 8.18868
95 2.205 3.80858 8.46009
96 2.22833 3.75269 8.73321
97 2.25167 3.68745 9.00724
98 2.275 3.62751 9.28242
99 2.29833 3.55759 9.55787
100 2.32167 3.49639 9.8341
101 2.345 3.44451 10.1117
102 2.36833 3.37763 10.3894
103 2.39167 3.31816 10.6676
104 2.415 3.26483 10.9467
105 2.43833 3.22955 11.2281
106 2.46167 3.18377 11.5109
107 2.485 3.14067 11.7952
108 2.50833 3.11209 12.0822
109 2.53167 3.0831 12.3718
110 2.555 3.05818 12.6644
111 2.57833 3.04458 12.9611
112 2.60167 3.0293 13.2616
113 2.625 3.01876 13.5665
114 2.64833 3.0196 13.8769
115 2.67167 3.01578 14.1924
116 2.695 3.01619 14.5135
117 2.71833 3.00738 14.8392
118 2.74167 3.01282 15.1712
119 2.765 3.02527 15.5102
120 2.78833 3.03422 15.856
121 2.81167 3.051 16.2095
122 2.835 3.0447 16.5682
123 2.85833 3.05894 16.9345
124 2.88167 3.0659 17.3076
125 2.905 3.07792 17.6883
126 2.92833 3.07783 18.0752
127 2.95167 3.08241 18.4688
128 2.975 3.08524 18.869
129 2.99833 3.09031 19.2762
130 3.02167 3.08692 19.6894
131 3.045 3.07878 20.1078
132 3.06833 3.0782 20.5325
133 3.09167 3.06396 20.9618
134 3.115 3.04905 21.3954
135 3.13833 3.03762 21.8339
136 3.16167 3.02291 22.2768
137 3.185 3.00133 22.7231
138 3.20833 2.98599 23.1736
139 3.23167 2.96686 23.6278
140 3.255 2.94821 24.0856
141 3.27833 2.93331 24.5477
142 3.30167 2.90277 25.0115
143 3.325 2.88795 25.4794
144 3.34833 2.86684 25.9505
145 3.37167 2.8453 26.4246
146 3.395 2.83098 26.9029
147 3.41833 2.8023 27.3828
148 3.44167 2.79161 27.8675
149 3.465 2.7749 28.3558
150 3.48833 2.7591 28.8479
300000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
