# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
100000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0 0
40 0.921667 3.62002e-06 1.05263e-06
41 0.945 0.000852962 0.000261579
42 0.968333 0.0442505 0.0144532
43 0.991667 0.583159 0.210599
44 1.015 2.89453 1.23052
45 1.03833 6.72741 3.71124
46 1.06167 8.60247 7.02754
47 1.085 6.75464 9.74718
48 1.10833 3.53553 11.2326
49 1.13167 1.30037 11.8021
50 1.155 0.348088 11.961
51 1.17833 0.0697245 11.9941
52 1.20167 0.0105955 11.9993
53 1.225 0.00122864 11.9999
54 1.24833 0.00010666 12
55 1.27167 9.51628e-06 12
56 1.295 1.00945e-05 12
57 1.31833 8.58929e-05 12.0001
58 1.34167 0.000730076 12.0005
59 1.365 0.00529152 12.0039
60 1.38833 0.0290443 12.023
61 1.41167 0.122212 12.1063
62 1.435 0.378442 12.3729
63 1.45833 0.868774 13.0048
64 1.48167 1.44955 14.0932
65 1.505 1.7531 15.4512
66 1.52833 1.52812 16.672
67 1.55167 0.963394 17.4653
68 1.575 0.437423 17.8364
69 1.59833 0.144256 17.9625
70 1.62167 0.0345223 17.9935
71 1.645 0.00609881 17.9992
72 1.66833 0.000922823 18
73 1.69167 0.00169225 18.0017
74 1.715 0.0153204 18.0171
75 1.73833 0.102954 18.1235
76 1.76167 0.469841 18.6222
77 1.785 1.46261 20.2161
78 1.80833 3.12597 23.7122
79 1.83167 4.60808 28.9998
80 1.855 4.73486 34.5721
81 1.87833 3.42731 38.7077
82 1.90167 1.7648 40.8904
83 1.925 0.653066 41.718
84 1.94833 0.175896 41.9464
85 1.97167 0.0346878 41.9925
86 1.995 0.00733264 42.0025
87 2.01833 0.0219154 42.033
88 2.04167 0.120425 42.2047
89 2.065 0.432162 42.835
90 2.08833 1.02087 44.3577
91 2.11167 1.63386 46.8495
92 2.135 1.8136 49.6768
93 2.15833 1.42222 51.9427
94 2.18167 0.800187 53.2453
95 2.205 0.327672 53.7901
96 2.22833 0.100693 53.9611
97 2.25167 0.0415806 54.0332
98 2.275 0.100547 54.2112
99 2.29833 0.349547 54.8427
100 2.32167 0.923983 56.5461
101 2.345 1.80158 59.9344
102 2.36833 2.57371 64.8717
103 2.39167 2.69154 70.1372
104 2.415 2.06339 74.2529
105 2.43833 1.15948 76.6106
106 2.46167 0.480641 77.6067
107 2.485 0.152174 77.9281
108 2.50833 0.0626794 78.063
109 2.53167 0.118786 78.3233
110 2.555 0.303613 79.0012
111 2.57833 0.573384 80.3049
112 2.60167 0.770827 82.0893
113 2.625 0.74187 83.8376
114 2.64833 0.513008 85.0682
115 2.67167 0.26096 85.7052
116 2.695 0.128732 86.025
117 2.71833 0.202643 86.5371
118 2.74167 0.639996 88.1825
119 2.765 1.62092 92.4209
120 2.78833 2.96807 100.313
121 2.81167 3.91157 110.889
122 2.835 3.73164 121.147
123 2.85833 2.58978 128.383
124 2.88167 1.31455 132.116
125 2.905 0.503408 133.569
126 2.92833 0.187973 134.12
127 2.95167 0.16745 134.619
128 2.975 0.274011 135.449
129 2.99833 0.387558 136.64
130 3.02167 0.414564 137.935
131 3.045 0.331775 138.987
132 3.06833 0.213377 139.674
133 3.09167 0.178333 140.257
134 3.115 0.352051 141.425
135 3.13833 0.840079 144.255
136 3.16167 1.56861 149.618
137 3.185 2.16706 157.137
138 3.20833 2.20246 164.89
139 3.23167 1.6543 170.799
140 3.255 0.944233 174.22
141 3.27833 0.497548 176.049
142 3.30167 0.467873 177.794
143 3.325 0.775702 180.727
144 3.34833 1.17748 185.242
145 3.37167 1.35602 190.514
146 3.395 1.15899 195.083
147 3.41833 0.750695 198.083
148 3.44167 0.436432 199.851
149 3.465 0.412925 201.546
150 3.48833 0.688353 204.411
