# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
100000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0 0
40 0.921667 1.25553e-05 3.15789e-06
41 0.945 0.00197725 0.000526316
42 0.968333 0.0464959 0.0134447
43 0.991667 0.393243 0.128032
44 1.015 1.49675 0.58494
45 1.03833 3.21751 1.61283
46 1.06167 4.64834 3.16533
47 1.085 5.09211 4.94164
48 1.10833 4.59632 6.6147
49 1.13167 3.64108 7.99645
50 1.155 2.66346 9.0493
51 1.17833 1.86892 9.8182
52 1.20167 1.3009 10.3748
53 1.225 0.922213 10.7848
54 1.24833 0.676654 11.0973
55 1.27167 0.520539 11.3467
56 1.295 0.420757 11.5557
57 1.31833 0.358469 11.7403
58 1.34167 0.321996 11.912
59 1.365 0.30322 12.0794
60 1.38833 0.300846 12.2512
61 1.41167 0.312143 12.4355
62 1.435 0.340731 12.6434
63 1.45833 0.383268 12.885
64 1.48167 0.439835 13.1711
65 1.505 0.504456 13.5096
66 1.52833 0.564304 13.9002
67 1.55167 0.610298 14.3357
68 1.575 0.630641 14.7992
69 1.59833 0.626929 15.2738
70 1.62167 0.603012 15.7437
71 1.645 0.576484 16.2059
72 1.66833 0.558304 16.6664
73 1.69167 0.560604 17.1417
74 1.715 0.588878 17.6549
75 1.73833 0.654549 18.2409
76 1.76167 0.757357 18.9373
77 1.785 0.904664 19.7914
78 1.80833 1.09481 20.8522
79 1.83167 1.31717 22.1616
80 1.855 1.54245 23.7343
81 1.87833 1.72035 25.5329
82 1.90167 1.80962 27.4721
83 1.925 1.78641 29.4337
84 1.94833 1.66973 31.3118
85 1.97167 1.50937 33.0505
86 1.995 1.35219 34.6452
87 2.01833 1.23755 36.1389
88 2.04167 1.1802 37.5965
89 2.065 1.17814 39.085
90 2.08833 1.20697 40.6446
91 2.11167 1.24252 42.2863
92 2.135 1.25592 43.9825
93 2.15833 1.23664 45.6894
94 2.18167 1.17622 47.3482
95 2.205 1.08446 48.9105
96 2.22833 0.975305 50.3455
97 2.25167 0.863629 51.6429
98 2.275 0.76375 52.8141
99 2.29833 0.686057 53.8879
100 2.32167 0.635784 54.9033
101 2.345 0.611983 55.9004
102 2.36833 0.613771 56.9205
103 2.39167 0.634518 57.9959
104 2.415 0.668183 59.1507
105 2.43833 0.706035 60.3945
106 2.46167 0.741563 61.7261
107 2.485 0.770461 63.136
108 2.50833 0.790236 64.6093
109 2.53167 0.807202 66.1423
110 2.555 0.824278 67.7367
111 2.57833 0.846778 69.4047
112 2.60167 0.877506 71.1646
113 2.625 0.912986 73.0286
114 2.64833 0.953551 75.0102
115 2.67167 0.996676 77.1181
116 2.695 1.04041 79.3571
117 2.71833 1.08152 81.725
118 2.74167 1.11992 84.2192
119 2.765 1.15688 86.8398
120 2.78833 1.19523 89.5932
121 2.81167 1.23725 92.4914
122 2.835 1.28648 95.5551
123 2.85833 1.33095 98.7771
124 2.88167 1.36275 102.13
125 2.905 1.37198 105.561
126 2.92833 1.34985 108.991
127 2.95167 1.29937 112.345
128 2.975 1.22776 115.565
129 2.99833 1.14518 118.616
130 3.02167 1.06444 121.496
131 3.045 0.994667 124.228
132 3.06833 0.940257 126.851
133 3.09167 0.903431 129.41
134 3.115 0.883375 131.949
135 3.13833 0.873074 134.497
136 3.16167 0.869484 137.072
137 3.185 0.866344 139.676
138 3.20833 0.864113 142.312
139 3.23167 0.85974 144.972
140 3.255 0.853102 147.65
141 3.27833 0.847201 150.348
142 3.30167 0.840637 153.064
143 3.325 0.83656 155.804
144 3.34833 0.83569 158.58
145 3.37167 0.839188 161.407
146 3.395 0.847293 164.301
147 3.41833 0.863211 167.289
148 3.44167 0.881279 170.383
149 3.465 0.903324 173.596
150 3.48833 0.928671 176.945
