# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
150000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0 0
40 0.921667 2.64185e-06 5.26316e-07
41 0.945 0.000859446 0.000180526
42 0.968333 0.026942 0.00610526
43 0.991667 0.264883 0.0671958
44 1.015 1.14848 0.344683
45 1.03833 2.77918 1.04739
46 1.06167 4.46506 2.22768
47 1.085 5.39329 3.71669
48 1.10833 5.35723 5.26005
49 1.13167 4.65582 6.6584
50 1.155 3.70253 7.81676
51 1.17833 2.7916 8.72578
52 1.20167 2.05367 9.42125
53 1.225 1.50417 9.95061
54 1.24833 1.11641 10.3586
55 1.27167 0.850127 10.681
56 1.295 0.668546 10.944
57 1.31833 0.548935 11.1677
58 1.34167 0.471625 11.3668
59 1.365 0.421774 11.5511
60 1.38833 0.392642 11.7286
61 1.41167 0.386334 11.9091
62 1.435 0.393211 12.099
63 1.45833 0.418241 12.3076
64 1.48167 0.458891 12.5439
65 1.505 0.510476 12.815
66 1.52833 0.565912 13.125
67 1.55167 0.621567 13.476
68 1.575 0.661225 13.8607
69 1.59833 0.684838 14.271
70 1.62167 0.688631 14.6957
71 1.645 0.679062 15.1266
72 1.66833 0.666413 15.5616
73 1.69167 0.665018 16.0079
74 1.715 0.680091 16.477
75 1.73833 0.725673 16.9913
76 1.76167 0.80129 17.5745
77 1.785 0.918619 18.2609
78 1.80833 1.07538 19.0856
79 1.83167 1.27212 20.0865
80 1.855 1.48941 21.2884
81 1.87833 1.7022 22.6968
82 1.90167 1.87086 24.2835
83 1.925 1.95802 25.9851
84 1.94833 1.95288 27.7236
85 1.97167 1.86525 29.4241
86 1.995 1.72864 31.0375
87 2.01833 1.58705 32.5537
88 2.04167 1.46866 33.9894
89 2.065 1.39174 35.3812
90 2.08833 1.36287 36.7751
91 2.11167 1.36739 38.205
92 2.135 1.38519 39.6858
93 2.15833 1.39557 41.2104
94 2.18167 1.37897 42.7496
95 2.205 1.32983 44.2659
96 2.22833 1.25009 45.7216
97 2.25167 1.15114 47.0903
98 2.275 1.04548 48.3593
99 2.29833 0.942264 49.5265
100 2.32167 0.855505 50.608
101 2.345 0.791183 51.6283
102 2.36833 0.750748 52.6158
103 2.39167 0.735458 53.6024
104 2.415 0.740648 54.6154
105 2.43833 0.762943 55.6792
106 2.46167 0.792544 56.8055
107 2.485 0.824534 57.9996
108 2.50833 0.852518 59.2575
109 2.53167 0.874284 60.5716
110 2.555 0.891077 61.9357
111 2.57833 0.90828 63.3518
112 2.60167 0.927301 64.8237
113 2.625 0.952113 66.3623
114 2.64833 0.986366 67.9847
115 2.67167 1.02681 69.7035
116 2.695 1.0751 71.5347
117 2.71833 1.12265 73.4801
118 2.74167 1.16882 75.5405
119 2.765 1.21235 77.7142
120 2.78833 1.25524 80.0028
121 2.81167 1.29771 82.4087
122 2.835 1.34332 84.9407
123 2.85833 1.39171 87.6072
124 2.88167 1.44066 90.4128
125 2.905 1.4802 93.3422
126 2.92833 1.50369 96.3661
127 2.95167 1.50069 99.4323
128 2.975 1.47156 102.487
129 2.99833 1.41539 105.471
130 3.02167 1.34179 108.344
131 3.045 1.26057 111.085
132 3.06833 1.18233 113.695
133 3.09167 1.11179 116.187
134 3.115 1.05673 118.592
135 3.13833 1.01443 120.935
136 3.16167 0.98879 123.253
137 3.185 0.972567 125.567
138 3.20833 0.96354 127.893
139 3.23167 0.958719 130.241
140 3.255 0.956343 132.617
141 3.27833 0.955394 135.025
142 3.30167 0.954635 137.466
143 3.325 0.950481 139.93
144 3.34833 0.946504 142.418
145 3.37167 0.942676 144.932
146 3.395 0.93855 147.469
147 3.41833 0.937234 150.037
148 3.44167 0.942161 152.654
149 3.465 0.951676 155.334
150 3.48833 0.965804 158.09
