# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
50000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0.000109429 7.36842e-06
39 0.898333 0.00349276 0.000255263
40 0.921667 0.0404449 0.00327684
41 0.945 0.218021 0.0204
42 0.968333 0.673797 0.0759647
43 0.991667 1.40841 0.197774
44 1.015 2.24342 0.401038
45 1.03833 2.9622 0.681909
46 1.06167 3.45175 1.02407
47 1.085 3.67339 1.40439
48 1.10833 3.68672 1.80267
49 1.13167 3.56756 2.20449
50 1.155 3.36166 2.59888
51 1.17833 3.1423 2.98259
52 1.20167 2.90359 3.35132
53 1.225 2.67385 3.7042
54 1.24833 2.46665 4.04225
55 1.27167 2.27908 4.36638
56 1.295 2.1195 4.67897
57 1.31833 1.9781 4.98132
58 1.34167 1.85482 5.27495
59 1.365 1.74673 5.56118
60 1.38833 1.66103 5.84274
61 1.41167 1.58491 6.1205
62 1.435 1.51988 6.39575
63 1.45833 1.46235 6.66926
64 1.48167 1.41758 6.94295
65 1.505 1.37585 7.21701
66 1.52833 1.34939 7.49421
67 1.55167 1.323 7.77434
68 1.575 1.30208 8.0584
69 1.59833 1.29105 8.34845
70 1.62167 1.28337 8.64527
71 1.645 1.28449 8.95095
72 1.66833 1.28716 9.26602
73 1.69167 1.29582 9.59214
74 1.715 1.30644 9.93006
75 1.73833 1.32158 10.2813
76 1.76167 1.33762 10.6464
77 1.785 1.36583 11.0291
78 1.80833 1.39297 11.4297
79 1.83167 1.42397 11.8498
80 1.855 1.4536 12.2897
81 1.87833 1.48741 12.7512
82 1.90167 1.51974 13.2345
83 1.925 1.55467 13.7412
84 1.94833 1.59265 14.2729
85 1.97167 1.62842 14.8296
86 1.995 1.6607 15.4109
87 2.01833 1.68981 16.0162
88 2.04167 1.71967 16.6466
89 2.065 1.73753 17.2982
90 2.08833 1.75402 17.971
91 2.11167 1.76274 18.6622
92 2.135 1.76509 19.3698
93 2.15833 1.76266 20.0919
94 2.18167 1.7552 20.8266
95 2.205 1.7367 21.5692
96 2.22833 1.7244 22.3222
97 2.25167 1.70055 23.0804
98 2.275 1.68137 23.8457
99 2.29833 1.6598 24.6168
100 2.32167 1.63667 25.3926
101 2.345 1.61507 26.1736
102 2.36833 1.59439 26.9601
103 2.39167 1.57239 27.7511
104 2.415 1.55309 28.5477
105 2.43833 1.53605 29.3508
106 2.46167 1.52317 30.1626
107 2.485 1.50844 30.9817
108 2.50833 1.49515 31.809
109 2.53167 1.48629 32.6468
110 2.555 1.47273 33.4923
111 2.57833 1.46967 34.3515
112 2.60167 1.4659 35.2241
113 2.625 1.46358 36.111
114 2.64833 1.46266 37.0132
115 2.67167 1.45968 37.9294
116 2.695 1.46204 38.8633
117 2.71833 1.46454 39.815
118 2.74167 1.46756 40.7851
119 2.765 1.47481 41.7767
120 2.78833 1.47826 42.7874
121 2.81167 1.48344 43.8188
122 2.835 1.48815 44.8706
123 2.85833 1.49432 45.9443
124 2.88167 1.49998 47.0397
125 2.905 1.50453 48.1563
126 2.92833 1.51029 49.2952
127 2.95167 1.51814 50.4584
128 2.975 1.5216 51.6428
129 2.99833 1.5237 52.8474
130 3.02167 1.52791 54.0743
131 3.045 1.52846 55.3206
132 3.06833 1.52856 56.5862
133 3.09167 1.52899 57.8714
134 3.115 1.53059 59.1775
135 3.13833 1.5284 60.5014
136 3.16167 1.52494 61.8419
137 3.185 1.52139 63.1992
138 3.20833 1.51909 64.5743
139 3.23167 1.51258 65.9635
140 3.255 1.50941 67.3699
141 3.27833 1.50449 68.7919
142 3.30167 1.49715 70.2272
143 3.325 1.49127 71.6771
144 3.34833 1.48695 73.1432
145 3.37167 1.48022 74.623
146 3.395 1.47485 76.118
147 3.41833 1.46864 77.6272
148 3.44167 1.46355 79.1517
149 3.465 1.45897 80.6922
150 3.48833 1.4564 82.2508
