# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
50000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 9.67276e-05 1.73684e-05
39 0.898333 0.00376528 0.00073
40 0.921667 0.0401587 0.00873053
41 0.945 0.205724 0.0518168
42 0.968333 0.606812 0.185259
43 0.991667 1.21686 0.465907
44 1.015 1.8566 0.914484
45 1.03833 2.34121 1.50645
46 1.06167 2.60287 2.1945
47 1.085 2.65146 2.92653
48 1.10833 2.54606 3.66002
49 1.13167 2.36553 4.37049
50 1.155 2.14852 5.04267
51 1.17833 1.92505 5.66952
52 1.20167 1.7164 6.25078
53 1.225 1.53263 6.79015
54 1.24833 1.3692 7.29054
55 1.27167 1.23504 7.75893
56 1.295 1.11802 8.19865
57 1.31833 1.02192 8.61518
58 1.34167 0.94229 9.01297
59 1.365 0.873171 9.39451
60 1.38833 0.81948 9.76494
61 1.41167 0.773561 10.1265
62 1.435 0.737471 10.4826
63 1.45833 0.711771 10.8376
64 1.48167 0.685931 11.1908
65 1.505 0.673284 11.5484
66 1.52833 0.663598 11.9119
67 1.55167 0.656405 12.2825
68 1.575 0.657136 12.6648
69 1.59833 0.661649 13.0612
70 1.62167 0.671424 13.4753
71 1.645 0.685956 13.9106
72 1.66833 0.705801 14.3713
73 1.69167 0.729489 14.8609
74 1.715 0.757622 15.3835
75 1.73833 0.787924 15.9419
76 1.76167 0.822349 16.5404
77 1.785 0.861534 17.1842
78 1.80833 0.900882 17.875
79 1.83167 0.941606 18.6159
80 1.855 0.982459 19.4087
81 1.87833 1.02245 20.2547
82 1.90167 1.05897 21.1528
83 1.925 1.09433 22.1038
84 1.94833 1.12767 23.1077
85 1.97167 1.15421 24.16
86 1.995 1.18185 25.2631
87 2.01833 1.20342 26.4128
88 2.04167 1.21938 27.6048
89 2.065 1.22684 28.8316
90 2.08833 1.22782 30.0874
91 2.11167 1.22138 31.3646
92 2.135 1.20729 32.6552
93 2.15833 1.18968 33.9549
94 2.18167 1.16644 35.2569
95 2.205 1.139 36.5556
96 2.22833 1.11079 37.8491
97 2.25167 1.08286 39.1366
98 2.275 1.05347 40.4153
99 2.29833 1.02545 41.6856
100 2.32167 0.998309 42.9475
101 2.345 0.974148 44.2038
102 2.36833 0.952496 45.4567
103 2.39167 0.934093 46.7098
104 2.415 0.918404 47.9659
105 2.43833 0.905497 49.2284
106 2.46167 0.895582 50.5012
107 2.485 0.887406 51.7863
108 2.50833 0.883653 53.0901
109 2.53167 0.881622 54.4153
110 2.555 0.88411 55.7688
111 2.57833 0.885834 57.1498
112 2.60167 0.892563 58.5666
113 2.625 0.900873 60.0224
114 2.64833 0.91046 61.5199
115 2.67167 0.921467 63.0624
116 2.695 0.935905 64.6565
117 2.71833 0.947601 66.2986
118 2.74167 0.962416 67.9952
119 2.765 0.977888 69.7484
120 2.78833 0.991744 71.5567
121 2.81167 1.00685 73.4233
122 2.835 1.01841 75.3429
123 2.85833 1.03089 77.3181
124 2.88167 1.04128 79.3459
125 2.905 1.05111 81.4261
126 2.92833 1.05705 83.5519
127 2.95167 1.06208 85.7219
128 2.975 1.0667 87.9359
129 2.99833 1.06881 90.1893
130 3.02167 1.06877 92.4778
131 3.045 1.06822 94.8005
132 3.06833 1.06461 97.1511
133 3.09167 1.06034 99.5279
134 3.115 1.05427 101.927
135 3.13833 1.0485 104.349
136 3.16167 1.04161 106.791
137 3.185 1.03325 109.249
138 3.20833 1.02523 111.723
139 3.23167 1.01702 114.214
140 3.255 1.00849 116.72
141 3.27833 1.0014 119.244
142 3.30167 0.993653 121.784
143 3.325 0.985303 124.339
144 3.34833 0.980193 126.916
145 3.37167 0.973795 129.512
146 3.395 0.96856 132.13
147 3.41833 0.964325 134.773
148 3.44167 0.962005 137.445
149 3.465 0.960138 140.148
150 3.48833 0.959429 142.886
